scope,layer,query,g0,rho,beta_unit,pa_rms,training_imprint_rms,wavelet_bias_rms,full_vs_baseline_rms,full_vs_baseline_over_pa_rms,wavelet_over_pa_rms,wavelet_over_training_imprint_rms,corr_wavelet_pa,corr_wavelet_training_imprint,corr_g0_full_context_bias_rms,corr_g0_visible_bias_rms,corr_g0_visible_full_vs_baseline_rms,corr_wavelet_full_vs_baseline,mean_abs_full_context_bias_rms_minus_g0
layer_causal_all,0,all,0.7167126536369324,0.5997212529182434,0.19944250583648682,4.519636129084229,1.471211502280934,1.0071444905974052,1.7834421745810145,0.39459861892518694,0.22283751652402897,0.6845681188843008,-0.005439668122558918,-0.007173299494861773,0.9999889434690377,0.49946464973558335,0.31185410262346774,0.5540904409325322,0.00016163695545401424
query_row_causal,0,255,0.670570433139801,0.6372933387756348,0.27458667755126953,3.874461489332803,1.4008698000418838,1.795991187645801,2.2209471963965726,0.5732273252712154,0.46354601603101175,1.2820543262422417,-0.3305379086524042,0.1026431347233828,,,,0.5482546121440176,
query_row_causal,0,511,0.44415950775146484,0.3382377624511719,-0.32352447509765625,4.78067908122623,1.7451164865008792,0.8360497307512573,1.9044504538652343,0.3983640025836556,0.17488095656419025,0.47907961286161177,-0.09498252186950752,-0.01851689096259561,,,,0.42369084611802393,
query_row_causal,0,1023,0.8697232604026794,0.7625126838684082,0.5250253677368164,3.5769852675354707,1.0985173744141254,1.2250662897769165,1.6892814452506209,0.47226402092914666,0.34248569623575287,1.1151997394945925,-0.04687673646390198,-0.03459222281701144,,,,0.7277458492831201,
query_row_causal,0,2047,0.7642356157302856,0.7231634855270386,0.44632697105407715,5.573022901739349,1.3851637078938321,0.7642350226227588,1.6195851438794848,0.290611607458855,0.13713114697307988,0.5517290254339631,0.010146506621495601,0.08136197395026197,,,,0.5344687750190418,
layer_causal_all,2,all,0.4715162217617035,0.7459213733673096,0.49184268712997437,29.269440186865957,3.3549550200417575,0.6588464688057923,3.3571720794853728,0.11469888245391974,0.022509705160040465,0.1963801198138245,0.025332713536741196,-0.016367866909049223,0.9999999999998983,0.5267990098474701,-0.009500406696787107,0.17316965923862462,3.4723052522167563e-07
query_row_causal,2,255,0.41743460297584534,0.6502206921577454,0.3004413843154907,24.26633000969758,2.55954865396444,1.1194080989045183,2.842874729207547,0.11715305643957886,0.04613009459844847,0.43734589579716987,-0.6868499984231805,0.11581761937564804,,,,0.2842775738220243,
query_row_causal,2,511,0.47943487763404846,0.6464494466781616,0.29289889335632324,28.217689364470292,2.3969230959552696,0.9153135370618448,2.3652569722684387,0.08382178078856457,0.03243757932264796,0.3818702146123949,-0.16832003892105077,-0.08637229214231584,,,,0.22408010100589998,
query_row_causal,2,1023,0.6179297566413879,0.771170437335968,0.542340874671936,30.598648904756672,3.2363252488785155,0.8702175752288461,3.1691426613265725,0.1035713266684111,0.028439738562886927,0.2688906424131514,-0.04047807535137845,0.03542020227831757,,,,0.3679281158295664,
query_row_causal,2,2047,0.5581724643707275,0.676811933517456,0.3536238670349121,31.014680667936204,2.5644846070610003,0.55817207866047,2.6077057243979227,0.08407972186841949,0.01799702807314483,0.21765468083669143,0.027557967745210448,-0.03305675793851088,,,,0.17958670293764833,
layer_causal_all,6,all,0.48759162425994873,0.5670443773269653,0.13408882915973663,23.19845491012697,4.024900398581168,0.688425102695331,4.01213780983884,0.17294849270704643,0.029675472153742808,0.1710415251363761,0.1789534979882464,-0.046169161249306166,0.9999999983775174,0.5773063474948987,0.07001848296880747,0.14142260513904076,5.522888386622071e-07
query_row_causal,6,255,0.28706759214401245,0.5988208055496216,0.19764161109924316,19.867452667553746,4.009816741762673,0.7644616239191452,3.6531910801439897,0.1838781821340462,0.03847808960268042,0.19064752160795656,-0.5080885606452733,-0.315556537435045,,,,-0.21823238359918165,
query_row_causal,6,511,0.580043613910675,0.47401267290115356,-0.05197465419769287,20.344717442021796,3.186019141797595,1.098230596437827,3.2733572184365887,0.16089470044324647,0.053981118173184524,0.34470307539275813,0.1958847798567095,0.03706210412118748,,,,0.37424451416908217,
