model,ext_nmf_dir,ext_len,rank,ext_pattern_id,ext_type,best_train_pattern_id,max_train_sim,mean_usage_ext,selected_for_mask
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,0,D,0,0.6499890411052903,0.004364169715253259,False
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,1,D,0,0.7141046287917359,0.004628543767259872,False
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,2,D,6,0.5323113041079299,0.004236599701307695,False
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,3,V,3,0.4044668298047982,0.0036541413011001783,True
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,4,V,1,0.5724598657416013,0.003651557374295464,False
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,5,V,1,0.4476943340608515,0.0032184741651534584,True
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,6,O,14,0.8478742321313637,0.0035128791099733312,False
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,7,V,13,0.36023413243736657,0.0025166365619450678,True
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,8,V,1,0.29864720823683083,0.0019768896273159777,True
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,9,D,11,0.39058849575649424,0.001651610256814273,True
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,10,V,13,0.5813464310784093,0.0026963293210116035,False
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,11,O,11,0.5029249985030875,0.0015200806231606852,False
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,12,D,9,0.28711717099905193,0.0017820839588419959,True
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,13,D,11,0.2887081329543123,0.002300172467720595,True
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,14,D,0,0.7007800133182855,0.0028905067012019634,False
PaTH-only,/project/nlp-work5/hongyu-s/transformers/examples/pytorch/language-modeling/runs/PA_baseline_multi_seeds/nmf_logit_motifs/L2048_checkpoint-15900_salient_R16,2048,16,15,O,15,0.40397811132813083,0.0019039877732649933,True
