model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,43,4096,0,24,3,0,0,512,0.3800952136516571,0.3296627402305603,0.2776219844818115,0.2537499964237213
medium,43,4096,0,24,3,1,512,1024,0.39574748277664185,0.319288969039917,0.26245373487472534,0.24767303466796875
medium,43,4096,0,24,3,2,1024,1536,0.39296039938926697,0.3190609812736511,0.2649988532066345,0.24579736590385437
medium,43,4096,0,24,3,3,1536,2048,0.3978005647659302,0.31475865840911865,0.25718387961387634,0.24305874109268188
medium,43,4096,0,24,3,4,2048,2560,0.39629557728767395,0.3126268684864044,0.2596926987171173,0.2402157038450241
medium,43,4096,0,24,3,5,2560,3072,0.3972271680831909,0.3101705014705658,0.26142656803131104,0.24322177469730377
medium,43,4096,0,24,3,6,3072,3584,0.39255303144454956,0.31201139092445374,0.2640758454799652,0.24429544806480408
medium,43,4096,0,24,3,7,3584,4096,0.39376044273376465,0.3104402422904968,0.26355355978012085,0.24314475059509277
medium,43,4096,1,24,3,0,0,512,0.7678208351135254,0.1290653944015503,0.08489206433296204,0.12054193764925003
medium,43,4096,1,24,3,1,512,1024,0.7801295518875122,0.1219363883137703,0.08029758185148239,0.10967781394720078
medium,43,4096,1,24,3,2,1024,1536,0.7777154445648193,0.12478744238615036,0.08145070821046829,0.11170755326747894
medium,43,4096,1,24,3,3,1536,2048,0.7779794335365295,0.12671233713626862,0.08202063292264938,0.10915890336036682
medium,43,4096,1,24,3,4,2048,2560,0.7772789597511292,0.127755805850029,0.08204741775989532,0.11128883063793182
medium,43,4096,1,24,3,5,2560,3072,0.7793989777565002,0.12594152987003326,0.08138110488653183,0.10987325012683868
medium,43,4096,1,24,3,6,3072,3584,0.7783743143081665,0.12699073553085327,0.08239361643791199,0.11036001890897751
medium,43,4096,1,24,3,7,3584,4096,0.777069091796875,0.12898333370685577,0.0834709107875824,0.1101842150092125
medium,43,4096,2,24,3,0,0,512,0.4302753210067749,0.3602338135242462,0.20124828815460205,0.3577965497970581
medium,43,4096,2,24,3,1,512,1024,0.43201977014541626,0.36545857787132263,0.2039308398962021,0.3516821563243866
medium,43,4096,2,24,3,2,1024,1536,0.43426063656806946,0.36821654438972473,0.2023710310459137,0.3486637771129608
medium,43,4096,2,24,3,3,1536,2048,0.4279786944389343,0.37509211897850037,0.20044341683387756,0.3476552665233612
medium,43,4096,2,24,3,4,2048,2560,0.43064868450164795,0.370430588722229,0.19791226089000702,0.3500687777996063
medium,43,4096,2,24,3,5,2560,3072,0.42814168334007263,0.37169891595840454,0.19902217388153076,0.3511655926704407
medium,43,4096,2,24,3,6,3072,3584,0.4291563332080841,0.3714933693408966,0.19626489281654358,0.35065165162086487
medium,43,4096,2,24,3,7,3584,4096,0.4321696162223816,0.3699580729007721,0.19160526990890503,0.34695929288864136
medium,43,4096,3,24,3,0,0,512,0.37436094880104065,0.3005673587322235,0.18032129108905792,0.3416212499141693
medium,43,4096,3,24,3,1,512,1024,0.36558592319488525,0.3295445144176483,0.16245703399181366,0.3648281991481781
medium,43,4096,3,24,3,2,1024,1536,0.37017881870269775,0.33973896503448486,0.15875014662742615,0.3597186207771301
