model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,42,512,0,24,3,0,0,512,0.27588924765586853,0.4505648910999298,0.4016472101211548,0.35003429651260376
medium,42,512,1,24,3,0,0,512,0.8055811524391174,0.07123104482889175,0.11692658811807632,0.09029104560613632
medium,42,512,2,24,3,0,0,512,0.3006702959537506,0.43875473737716675,0.19189243018627167,0.288229376077652
medium,42,512,3,24,3,0,0,512,0.3039410412311554,0.39658454060554504,0.19300124049186707,0.406919002532959
medium,42,512,4,24,3,0,0,512,0.2010522186756134,0.4814915060997009,0.41631123423576355,0.35553526878356934
medium,42,512,5,24,3,0,0,512,0.23133127391338348,0.3594615161418915,0.543839693069458,0.40062665939331055
medium,42,512,6,24,3,0,0,512,0.39705005288124084,0.43195033073425293,0.44626569747924805,0.2219609022140503
medium,42,512,7,24,3,0,0,512,0.48673152923583984,0.3743347227573395,0.3090050220489502,0.15933960676193237
medium,42,512,8,24,3,0,0,512,0.5224930644035339,0.3250460922718048,0.09706123173236847,0.12895290553569794
medium,42,512,9,24,3,0,0,512,0.35617294907569885,0.21416111290454865,0.4729945957660675,0.3085594177246094
medium,42,512,10,24,3,0,0,512,0.3603968918323517,0.38303545117378235,0.3191775977611542,0.3481302857398987
medium,42,512,11,24,3,0,0,512,0.1822366863489151,0.5387747883796692,0.4458315670490265,0.4524134397506714
medium,42,512,12,24,3,0,0,512,0.321429967880249,0.3906937837600708,0.3495166599750519,0.39633238315582275
medium,42,512,13,24,3,0,0,512,0.2859755754470825,0.4561821520328522,0.2032114863395691,0.29329708218574524
medium,42,512,14,24,3,0,0,512,0.18675626814365387,0.507075846195221,0.4113945960998535,0.3617067337036133
medium,42,512,15,24,3,0,0,512,0.31814825534820557,0.45599907636642456,0.41880500316619873,0.1994573324918747
medium,42,512,16,24,3,0,0,512,0.22674846649169922,0.4111180901527405,0.30835407972335815,0.25456908345222473
medium,42,512,17,24,3,0,0,512,0.23290599882602692,0.3431827127933502,0.46494242548942566,0.26630857586860657
medium,42,512,18,24,3,0,0,512,0.25313815474510193,0.4246630072593689,0.2305547595024109,0.26910096406936646
medium,42,512,19,24,3,0,0,512,0.25605905055999756,0.47161179780960083,0.3190772533416748,0.3033106327056885
