task,layer,state,margin_bin,count,flip_rate,mean_margin,q33,q66
hotpotqa,10,NULL,low,0,0.0,0.0,0.15050984504900636,0.22716606654354976
hotpotqa,10,NULL,mid,0,0.0,0.0,0.15050984504900636,0.22716606654354976
hotpotqa,10,NULL,high,0,0.0,0.0,0.15050984504900636,0.22716606654354976
hotpotqa,10,UNIFORM,low,1069,0.9681945743685687,0.10158310138610856,0.15050984504900636,0.22716606654354976
hotpotqa,10,UNIFORM,mid,601,0.956738768718802,0.18342833884600465,0.15050984504900636,0.22716606654354976
hotpotqa,10,UNIFORM,high,373,0.935656836461126,0.2957958582824391,0.15050984504900636,0.22716606654354976
hotpotqa,10,SMALL,low,1350,0.9696296296296296,0.10453366840453952,0.15050984504900636,0.22716606654354976
hotpotqa,10,SMALL,mid,934,0.9635974304068522,0.18429492462844044,0.15050984504900636,0.22716606654354976
hotpotqa,10,SMALL,high,622,0.9372990353697749,0.2992000053912243,0.15050984504900636,0.22716606654354976
hotpotqa,10,LARGE,low,1393,0.9662598707824839,0.10472575797704431,0.15050984504900636,0.22716606654354976
hotpotqa,10,LARGE,mid,933,0.962486602357985,0.1861225425094129,0.15050984504900636,0.22716606654354976
hotpotqa,10,LARGE,high,723,0.9515905947441217,0.29240537856023335,0.15050984504900636,0.22716606654354976
hotpotqa,10,OTHER,low,0,0.0,0.0,0.15050984504900636,0.22716606654354976
hotpotqa,10,OTHER,mid,0,0.0,0.0,0.15050984504900636,0.22716606654354976
hotpotqa,10,OTHER,high,0,0.0,0.0,0.15050984504900636,0.22716606654354976
hotpotqa,11,NULL,low,0,0.0,0.0,0.15050984504900636,0.22716606654354976
hotpotqa,11,NULL,mid,0,0.0,0.0,0.15050984504900636,0.22716606654354976
hotpotqa,11,NULL,high,0,0.0,0.0,0.15050984504900636,0.22716606654354976
hotpotqa,11,UNIFORM,low,701,0.9472182596291013,0.11745720871944089,0.15050984504900636,0.22716606654354976
hotpotqa,11,UNIFORM,mid,1374,0.9395924308588064,0.19183148979720624,0.15050984504900636,0.22716606654354976
hotpotqa,11,UNIFORM,high,1918,0.9421272158498436,0.2975161128769856,0.15050984504900636,0.22716606654354976
hotpotqa,11,SMALL,low,802,0.9463840399002493,0.11354140507041029,0.15050984504900636,0.22716606654354976
hotpotqa,11,SMALL,mid,1109,0.9567177637511272,0.1882097782393527,0.15050984504900636,0.22716606654354976
hotpotqa,11,SMALL,high,1105,0.9547511312217195,0.29199913129298016,0.15050984504900636,0.22716606654354976
